Fecha,Categoria,Producto,Precio_ARS,Precio_USD,Dolar_ARS
2026-03-03,Alfajores,ALFAJORES PLAYA GRANDE Y PLAYA BRISTOL x 8uds,3500.0,2.45,1430.0
2026-03-03,Alfajores,ALFAJORES MAR DEL PLATA x 8uds,3500.0,2.45,1430.0
2026-03-03,Alfajores,ALFAJORES 70% CACAO PURO x 9uds,3444.44,2.41,1430.0
2026-03-03,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 12uds,2000.0,1.4,1430.0
2026-03-03,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 6uds,2083.33,1.46,1430.0
2026-03-03,Alfajores,MINI ALFAJORES DE CHOCOLATE x 475g,28000.0,19.58,1430.0
2026-03-03,Alfajores,MINI ALFAJORES MIXTOS DE CHOCOLATE x 475g,28000.0,19.58,1430.0
2026-03-03,Alfajores,ALFAJORES SUPER DULCE DE LECHE x 9uds,3444.44,2.41,1430.0
2026-03-03,Alfajores,ALFAJORES CHOCOLATE x 12uds,2000.0,1.4,1430.0
2026-03-03,Alfajores,ALFAJORES CHOCOLATE x 6uds,2083.33,1.46,1430.0
2026-03-03,Alfajores,ALFAJORES SIN AZÚCAR x 9uds,3444.44,2.41,1430.0
2026-03-03,Alfajores,MINI ALFAJORES MAR DEL PLATA x 560g,33000.0,23.08,1430.0
2026-03-03,Havannets,HAVANNETS DE CHOCOLATE x 12uds,1750.0,1.22,1430.0
2026-03-03,Havannets,HAVANNETS DE CHOCOLATE x 6uds,1833.33,1.28,1430.0
2026-03-03,Havannets,HAVANNETS DE COCO 70% CACAO x 6uds,1833.33,1.28,1430.0
2026-03-03,Chocolates,TABLETA DE CHOCOLATE CON LECHE,7200.0,5.03,1430.0
2026-03-03,Chocolates,TABLETA DE CHOCOLATE BLANCO,7200.0,5.03,1430.0
2026-03-03,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO,10500.0,7.34,1430.0
2026-03-03,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO CON ALMENDRAS,10500.0,7.34,1430.0
2026-03-03,Chocolates,TABLETA DE CHOCOLATE 85% CACAO PURO,10500.0,7.34,1430.0
2026-03-03,Otros,TRUFAS SURTIDAS x 200g,24500.0,17.13,1430.0
2026-03-03,Otros,TRUFAS 70% CACAO x 200g,24500.0,17.13,1430.0
2026-03-03,Otros,MINITABLETAS x 48uds,781.25,0.55,1430.0
2026-03-03,Otros,CORONITAS 70% CACAO PURO x 10uds,2050.0,1.43,1430.0
2026-03-03,Otros,CORONITAS SURTIDAS x 20 uds,34500.0,24.13,1430.0
2026-03-04,Alfajores,ALFAJORES PLAYA GRANDE Y PLAYA BRISTOL x 8uds,3500.0,2.46,1425.0
2026-03-04,Alfajores,ALFAJORES MAR DEL PLATA x 8uds,3500.0,2.46,1425.0
2026-03-04,Alfajores,ALFAJORES 70% CACAO PURO x 9uds,3444.44,2.42,1425.0
2026-03-04,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 12uds,2000.0,1.4,1425.0
2026-03-04,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 6uds,2083.33,1.46,1425.0
2026-03-04,Alfajores,MINI ALFAJORES DE CHOCOLATE x 475g,28000.0,19.65,1425.0
2026-03-04,Alfajores,MINI ALFAJORES MIXTOS DE CHOCOLATE x 475g,28000.0,19.65,1425.0
2026-03-04,Alfajores,ALFAJORES SUPER DULCE DE LECHE x 9uds,3444.44,2.42,1425.0
2026-03-04,Alfajores,ALFAJORES CHOCOLATE x 12uds,2000.0,1.4,1425.0
2026-03-04,Alfajores,ALFAJORES CHOCOLATE x 6uds,2083.33,1.46,1425.0
2026-03-04,Alfajores,ALFAJORES SIN AZÚCAR x 9uds,3444.44,2.42,1425.0
2026-03-04,Alfajores,MINI ALFAJORES MAR DEL PLATA x 560g,33000.0,23.16,1425.0
2026-03-04,Havannets,HAVANNETS DE CHOCOLATE x 12uds,1750.0,1.23,1425.0
2026-03-04,Havannets,HAVANNETS DE CHOCOLATE x 6uds,1833.33,1.29,1425.0
2026-03-04,Havannets,HAVANNETS DE COCO 70% CACAO x 6uds,1833.33,1.29,1425.0
2026-03-04,Chocolates,TABLETA DE CHOCOLATE CON LECHE,7200.0,5.05,1425.0
2026-03-04,Chocolates,TABLETA DE CHOCOLATE BLANCO,7200.0,5.05,1425.0
2026-03-04,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO,10500.0,7.37,1425.0
2026-03-04,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO CON ALMENDRAS,10500.0,7.37,1425.0
2026-03-04,Chocolates,TABLETA DE CHOCOLATE 85% CACAO PURO,10500.0,7.37,1425.0
2026-03-04,Otros,TRUFAS SURTIDAS x 200g,24500.0,17.19,1425.0
2026-03-04,Otros,TRUFAS 70% CACAO x 200g,24500.0,17.19,1425.0
2026-03-04,Otros,MINITABLETAS x 48uds,781.25,0.55,1425.0
2026-03-04,Otros,CORONITAS SURTIDAS x 20 uds,34500.0,24.21,1425.0
2026-03-04,Otros,CORONITAS 70% CACAO PURO x 10uds,2050.0,1.44,1425.0
2026-03-05,Alfajores,ALFAJORES PLAYA GRANDE Y PLAYA BRISTOL x 8uds,3500.0,2.46,1425.0
2026-03-05,Alfajores,ALFAJORES MAR DEL PLATA x 8uds,3500.0,2.46,1425.0
2026-03-05,Alfajores,ALFAJORES 70% CACAO PURO x 9uds,3444.44,2.42,1425.0
2026-03-05,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 12uds,2000.0,1.4,1425.0
2026-03-05,Alfajores,ALFAJORES MIXTOS CLÁSICOS x 6uds,2083.33,1.46,1425.0
2026-03-05,Alfajores,MINI ALFAJORES DE CHOCOLATE x 475g,28000.0,19.65,1425.0
2026-03-05,Alfajores,MINI ALFAJORES MIXTOS DE CHOCOLATE x 475g,28000.0,19.65,1425.0
2026-03-05,Alfajores,ALFAJORES SUPER DULCE DE LECHE x 9uds,3444.44,2.42,1425.0
2026-03-05,Alfajores,ALFAJORES CHOCOLATE x 12uds,2000.0,1.4,1425.0
2026-03-05,Alfajores,ALFAJORES CHOCOLATE x 6uds,2083.33,1.46,1425.0
2026-03-05,Alfajores,ALFAJORES SIN AZÚCAR x 9uds,3444.44,2.42,1425.0
2026-03-05,Alfajores,MINI ALFAJORES MAR DEL PLATA x 560g,33000.0,23.16,1425.0
2026-03-05,Havannets,HAVANNETS DE CHOCOLATE x 12uds,1750.0,1.23,1425.0
2026-03-05,Havannets,HAVANNETS DE CHOCOLATE x 6uds,1833.33,1.29,1425.0
2026-03-05,Havannets,HAVANNETS DE COCO 70% CACAO x 6uds,1833.33,1.29,1425.0
2026-03-05,Chocolates,TABLETA DE CHOCOLATE CON LECHE,7200.0,5.05,1425.0
2026-03-05,Chocolates,TABLETA DE CHOCOLATE BLANCO,7200.0,5.05,1425.0
2026-03-05,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO,10500.0,7.37,1425.0
2026-03-05,Chocolates,TABLETA DE CHOCOLATE 70% CACAO PURO CON ALMENDRAS,10500.0,7.37,1425.0
2026-03-05,Chocolates,TABLETA DE CHOCOLATE 85% CACAO PURO,10500.0,7.37,1425.0
2026-03-05,Otros,TRUFAS SURTIDAS x 200g,24500.0,17.19,1425.0
2026-03-05,Otros,TRUFAS 70% CACAO x 200g,24500.0,17.19,1425.0
2026-03-05,Otros,MINITABLETAS x 48uds,781.25,0.55,1425.0
2026-03-05,Otros,CORONITAS SURTIDAS x 20 uds,34500.0,24.21,1425.0
2026-03-05,Otros,CORONITAS 70% CACAO PURO x 10uds,2050.0,1.44,1425.0
